Date,price,open,high,low,Vol.,Change_per
Nov 13,16.892,16.782,16.953,16.742,-,1.20%
Nov 12,16.692,16.785,16.875,16.615,90.40K,-0.65%
Nov 11,16.802,16.755,16.910,16.630,90.42K,0.00%
Nov 08,16.823,17.070,17.095,16.660,135.57K,-1.10%
Nov 07,17.010,17.605,17.645,16.910,166.41K,-3.34%
Nov 06,17.598,17.555,17.630,17.360,101.43K,0.17%
Nov 05,17.568,18.060,18.085,17.520,141.97K,-2.76%
Nov 04,18.066,18.125,18.230,17.960,78.10K,-0.31%
Nov 01,18.052,18.120,18.160,17.935,89.93K,-0.08%
Oct 31,18.067,17.895,18.185,17.795,103.41K,1.12%
Oct 30,17.867,17.820,17.965,17.590,84.39K,0.20%
Oct 29,17.831,17.870,17.905,17.605,78.57K,-0.25%
Oct 28,17.876,18.065,18.145,17.785,81.92K,-0.87%
Oct 25,17.926,17.835,18.350,17.800,133.99K,0.69%
Oct 24,17.804,17.575,17.860,17.485,76.01K,1.27%
Oct 23,17.580,17.550,17.630,17.515,51.19K,0.46%
Oct 22,17.500,17.580,17.680,17.440,56.64K,-0.58%
Oct 21,17.602,17.615,17.895,17.530,76.35K,0.05%
Oct 18,17.578,17.570,17.620,17.420,48.12K,-0.19%
Oct 17,17.612,17.415,17.665,17.330,62.37K,1.06%
Oct 16,17.427,17.430,17.490,17.180,80.64K,0.25%
Oct 15,17.384,17.695,17.765,17.370,71.96K,-1.84%
Oct 14,17.710,17.590,17.735,17.455,48.68K,1.13%
Oct 11,17.544,17.540,17.785,17.370,102.67K,-0.33%
Oct 10,17.602,17.800,17.935,17.455,93.95K,-1.17%
Oct 09,17.810,17.775,18.000,17.720,67.68K,0.62%
Oct 08,17.700,17.490,17.860,17.305,91.07K,0.91%
Oct 07,17.540,17.665,17.700,17.435,35.22K,-0.43%
Oct 04,17.625,17.630,17.745,17.330,59.58K,-0.29%
Oct 03,17.676,17.630,17.845,17.515,70.00K,-0.04%
Oct 02,17.683,17.310,17.730,17.240,70.48K,2.20%
Oct 01,17.302,17.045,17.375,16.940,82.42K,1.79%
Sep 30,16.998,17.590,17.660,16.980,96.15K,-3.30%
Sep 27,17.652,17.885,18.110,17.345,134.22K,-1.45%
Sep 26,17.912,17.990,18.750,17.785,110.04K,-0.89%
Sep 25,18.073,18.680,18.810,17.875,132.58K,-2.98%
Sep 24,18.628,18.655,18.810,17.990,132.63K,-0.44%
Sep 23,18.711,18.030,18.780,17.810,129.34K,3.68%
Sep 20,17.849,17.870,18.060,17.810,59.13K,-0.20%
Sep 19,17.884,17.845,18.015,17.655,65.97K,-0.20%
Sep 18,17.919,18.095,18.120,17.580,100.53K,-1.22%
Sep 17,18.140,17.925,18.170,17.820,88.43K,0.63%
Sep 16,18.026,17.755,18.075,17.690,108.43K,1.14%
Sep 13,17.569,18.155,18.265,17.470,106.47K,-3.34%
Sep 12,18.177,18.200,18.555,18.085,99.70K,0.04%
Sep 11,18.170,18.095,18.335,17.970,84.66K,-0.09%
Sep 10,18.186,18.090,18.265,17.855,116.63K,0.10%
Sep 09,18.167,18.215,18.400,18.015,135.35K,-0.55%
Sep 06,18.119,18.715,18.890,18.045,221.80K,-3.66%
Sep 05,18.807,19.645,19.675,18.570,194.13K,-3.79%
Sep 04,19.547,19.350,19.750,19.280,156.69K,1.61%
Sep 03,19.237,18.520,19.395,18.365,199.68K,4.03%
Sep 02,18.492,18.562,18.652,18.367,-,-0.40%
Sep 01,18.567,18.475,18.683,18.475,-,1.23%
Aug 30,18.342,18.365,18.575,18.165,115.42K,0.10%
Aug 29,18.323,18.450,18.760,18.150,161.56K,-0.72%
Aug 28,18.456,18.295,18.620,18.170,103.11K,0.86%
Aug 27,18.298,17.780,18.330,17.755,71.09K,2.88%
Aug 26,17.785,17.650,17.900,17.640,58.66K,-0.15%
Aug 23,17.554,17.180,17.605,17.105,53.31K,2.19%
Aug 22,17.178,17.250,17.265,17.055,30.15K,-0.65%
Aug 21,17.290,17.265,17.315,17.115,27.09K,0.02%
Aug 20,17.286,16.985,17.310,16.970,24.46K,1.23%
Aug 19,17.076,17.260,17.260,16.960,24.25K,0.05%
Aug 16,17.263,17.385,17.455,17.165,9.98K,-0.52%
Aug 15,17.353,17.310,17.510,17.215,13.26K,-0.40%
Aug 14,17.422,17.100,17.450,17.000,13.44K,1.73%
Aug 13,17.125,17.200,17.625,16.650,31.54K,0.32%
Aug 12,17.071,16.965,17.150,16.800,83.99K,0.44%
Aug 09,16.931,16.940,17.140,16.860,98.62K,-0.03%
Aug 08,16.936,17.100,17.225,16.810,124.04K,-1.51%
Aug 07,17.196,16.450,17.260,16.450,174.98K,4.57%
Aug 06,16.445,16.440,16.530,16.365,71.82K,0.32%
Aug 05,16.393,16.260,16.590,16.135,114.33K,1.17%
Aug 02,16.270,16.355,16.385,16.030,100.15K,0.56%
Aug 01,16.180,16.280,16.405,15.935,122.90K,-1.37%
Jul 31,16.405,16.585,16.600,16.215,107.09K,-0.92%
Jul 30,16.558,16.500,16.640,16.425,57.74K,0.72%
Jul 29,16.440,16.420,16.500,16.360,62.06K,0.23%
Jul 26,16.397,16.455,16.550,16.355,80.58K,-0.09%
Jul 25,16.411,16.620,16.685,16.345,121.09K,-1.29%
Jul 24,16.626,16.435,16.680,16.350,84.63K,0.91%
Jul 23,16.476,16.380,16.575,16.205,111.41K,0.40%
Jul 22,16.411,16.255,16.455,16.195,98.27K,1.10%
Jul 19,16.195,16.385,16.625,16.080,173.87K,-0.02%
Jul 18,16.198,16.005,16.385,15.960,149.09K,1.42%
Jul 17,15.971,15.585,16.030,15.555,111.24K,1.87%
Jul 16,15.678,15.415,15.735,15.340,128.87K,2.04%
Jul 15,15.365,15.240,15.430,15.185,67.64K,0.74%
Jul 12,15.236,15.135,15.270,15.070,49.16K,0.59%
Jul 11,15.146,15.265,15.345,15.120,60.63K,-0.53%
Jul 10,15.226,15.135,15.315,15.070,73.72K,0.52%
Jul 09,15.147,15.035,15.155,14.965,49.64K,0.64%
Jul 08,15.050,15.050,15.150,14.985,47.62K,0.35%
Jul 05,15.001,15.365,15.370,14.915,109.25K,-2.27%
Jul 04,15.350,15.342,15.370,15.252,-,0.09%
Jul 03,15.336,15.370,15.510,15.240,66.80K,0.64%
Jul 02,15.238,15.160,15.365,15.070,71.31K,0.30%
Jul 01,15.193,15.315,15.345,15.155,70.00K,-0.26%
Jun 28,15.341,15.300,15.385,15.245,57.10K,0.31%
Jun 27,15.294,15.340,15.355,15.205,74.82K,-0.53%
Jun 26,15.375,15.430,15.435,15.240,76.04K,-0.05%
Jun 25,15.383,15.540,15.590,15.340,82.57K,-0.50%
Jun 24,15.461,15.445,15.540,15.370,51.72K,0.38%
Jun 21,15.370,15.525,15.625,15.235,43.99K,-1.27%
Jun 20,15.568,15.240,15.590,15.190,56.56K,3.57%
Jun 19,15.032,15.070,15.245,14.980,20.48K,-0.23%
Jun 18,15.067,14.895,15.155,14.875,21.58K,1.11%
Jun 17,14.902,14.910,14.960,14.830,9.80K,0.64%
Jun 14,14.878,14.965,15.190,14.850,14.13K,-0.57%
Jun 13,14.964,14.825,14.995,14.790,16.08K,0.92%
Jun 12,14.827,14.795,14.930,14.790,10.10K,0.08%
Jun 11,14.815,14.765,14.850,14.705,15.42K,0.69%
