price,open,high,low,Vol
1315.1,1315,1318.7,1310.8,4.38K
1313.6,1318.7,1321.7,1312,5.46K
1319.5,1306,1319.8,1300.3,6.73K
1305.3,1303.2,1308,1302,3.12K
1303.2,1300.5,1307,1298.6,5.94K
1299.5,1303.5,1310.2,1298.4,2.88K
1303.6,1300.7,1305.3,1297.2,3.77K
1301.8,1302,1305,1296.3,2.34K
1299.2,1289.6,1301.7,1288.5,1.93K
1289.9,1297,1297.2,1285.1,3.05K
1302.2,1302.3,1307,1292.9,2.49K
1303.6,1299.8,1305.9,1299.6,2.06K
1299.4,1306.4,1306.4,1298,1.29K
1306.8,1298,1308.7,1296.9,2.05K
1297.7,1294.2,1302.5,1293.5,1.42K
1297.4,1290.3,1298.4,1289.1,1.30K
1291.2,1295.2,1296.2,1286,2.09K
1295.8,1295.8,1299.5,1294.1,0.23K
1277.9,1277.9,1277.9,1277.9,-
1294.1,1293.7,1296.9,1291,1.15K
1294.7,1297.4,1299.6,1293.5,2.23K
1295.2,1309.5,1309.5,1293.9,3.13K
1309.4,1312.3,1312.3,1303.6,2.82K
1313.4,1314.2,1316.9,1312.1,2.37K
1311.3,1329.2,1329.2,1311,1.72K
1331.9,1326.5,1332.2,1322.8,2.08K
1326.3,1320,1328.3,1320,2.72K
1319.9,1313.7,1325.4,1313.7,1.26K
1313.7,1315,1315,1306.6,1.64K
1312.2,1313.1,1316.4,1302.8,2.29K
1313.3,1314,1316.6,1310.6,1.44K
1313.4,1310.7,1314.7,1308,1.41K
1312.4,1314.4,1319.3,1309.5,0.77K
1316.5,1314,1322.3,1310,0.83K
1313.3,1332.5,1334.7,1311.4,2.56K
1334.7,1341.1,1342.8,1331.8,1.71K
1339.2,1345.2,1345.6,1336.6,1.83K
1346.7,1335.3,1348.4,1335.3,2.50K
1336.5,1333,1338.8,1331.7,3.94K
1331.6,1338,1344.2,1327.8,1.30K
1325.8,1330.9,1341.1,1323,2.96K
1330.9,1328,1334.7,1328,1.31K
1325.8,1323.1,1330.4,1323,1.18K
1327.1,1320.3,1330.1,1320,0.88K
1319.4,1332.1,1332.1,1317.2,1.46K
1333.8,1327.2,1336,1327.2,2.00K
1322.4,1319.1,1326.3,1319,1.33K
1315.7,1323.5,1323.5,1315.4,1.36K
1324.3,1312.3,1325.7,1312.3,2.40K
1310.7,1312.4,1312.9,1306.7,2.36K
1312.2,1314,1316.1,1309.6,1.10K
1309.1,1311.8,1314.1,1306.9,1.24K
1311.9,1320.6,1322.3,1308.4,1.76K
1323.8,1339.1,1340.6,1316.3,2.18K
1341,1347.6,1353.4,1338.9,0.61K
1346,1356,1356,1344.3,0.88K
1353.4,1356.1,1357,1350.7,0.17K
1354.2,1357.8,1359,1352.4,0.55K
1357.6,1351.3,1359.8,1349.1,0.99K
1352.4,1367.9,1368.4,1351.2,0.86K
1372.5,1371.3,1374.3,1366.3,1.67K
1369.6,1349.5,1369.6,1349,2.60K
1329.55,1324.35,1330.75,1324.05,-
1324.25,1324.65,1324.95,1323.85,-
1346.8,1340.4,1350,1340.4,0.85K
1338.7,1337,1342,1329.9,0.81K
1340.1,1338.6,1345.2,1333.2,1.88K
1338.9,1337,1342.1,1336.8,1.07K
1337,1342.5,1342.7,1333,1.26K
1343.7,1337.9,1344.2,1337.9,0.33K
1339.4,1335.6,1340.7,1332,1.66K
1339.7,1344.9,1344.9,1335,0.77K
1344.6,1343.4,1345.7,1340.8,1.25K
1344.3,1346.4,1346.4,1338,0.53K
1347.1,1349.8,1352.2,1345.9,0.75K
1350,1350.6,1354.6,1347,2.65K
1340.5,1341.3,1353.2,1340.2,1.91K
1340.2,1334.2,1341.7,1333.1,9.30K
1334.5,1331.9,1334.7,1329.3,0.92K
1329.1,1313.1,1333.2,1312.3,0.36K
1310.8,1314,1314,1308.5,0.40K
1315.2,1315,1316.3,1309.9,0.92K
1314.2,1311.1,1315.8,1308,1.37K
1279.05,1281.95,1282.95,1276.15,-
1282.05,1281.3,1282.7,1280.5,-
1313.8,1322,1322.1,1312,0.29K
1323.6,1323.5,1323.5,1319.9,0.48K
1325.1,1321.3,1326,1321.3,1.12K
1319.7,1324.7,1326,1318.1,0.94K
1323.3,1323.1,1327.1,1321,1.32K
1321.3,1319.3,1325.8,1319,0.53K
1319.2,1325,1328,1319.1,0.55K
1323.5,1314.3,1326,1312.4,0.58K
1317.4,1321.6,1321.6,1312.9,1.01K
1321.5,1317.6,1326.8,1317.6,0.90K
1317.4,1328,1330.8,1309.6,0.92K
1326.1,1318.7,1327,1318.7,1.70K
1315.3,1319.9,1320.6,1315,0.80K
1283.35,1284.7,1284.75,1282.85,-
1312.5,1313,1317.1,1311,0.53K
1313.7,1311,1313.9,1309.2,0.62K
1311.9,1304,1312.3,1300.3,0.21K
1303.7,1299,1312.8,1298.7,0.26K
1270.75,1272.5,1274.55,1270.65,-
1302.4,1292.5,1303.8,1292.5,0.16K
1288.6,1295.5,1295.5,1287.9,0.43K
1298.6,1279.3,1300,1279.2,0.54K
1286.8,1283.9,1289.4,1276.1,0.25K
1284,1282.7,1284.6,1280.7,1.75K
1282.6,1271.4,1282,1270.2,0.44K
1272.2,1277.1,1277.1,1267.5,0.34K
1278.4,1281.2,1281.9,1276.9,0.16K
1281,1280,1282.6,1279.8,0.43K
1278.1,1279.8,1285,1277.1,0.29K
1280,1283.8,1283.8,1279.6,0.68K
1283.6,1273.6,1286.6,1273.5,0.53K
1274.3,1273,1279.2,1271.2,0.59K
1273.4,1273.5,1273.5,1269.7,0.21K
1277.4,1271,1277.5,1271,0.27K
1270.2,1260.6,1271,1260.3,0.18K
1256.5,1257.4,1257.7,1255.3,0.26K
1260.8,1261.1,1264.1,1259,0.17K
1260.2,1250.9,1261.3,1247.7,0.52K
1250.4,1258,1260,1248.9,0.43K
1259.7,1260.1,1263.9,1259.4,1.45K
1260,1265.2,1265.5,1257.8,0.64K
1228,1226.4,1229.7,1225.5,-
1264.7,1261.3,1265.4,1260.6,0.34K
1257.5,1261.9,1262.6,1258.2,0.37K
1261.6,1257.6,1261,1257,2.39K
1259,1253.3,1260.6,1253.3,0.22K
1251.7,1249.6,1252.3,1245.5,0.14K
1246.2,1234.2,1251.3,1234,0.33K
1237.5,1239.7,1240.8,1232.5,1.37K
1239.6,1243.4,1244.4,1237.7,0.61K
1245,1252.7,1252.7,1243.9,0.46K
1262,1262.7,1263.7,1258,0.46K
1265.4,1265.3,1273,1262,0.57K
